Geo_Point;Geo_Shape;nom;street;No
43.6134589692, 1.43024323237;{"type": "Point", "coordinates": [1.430243232371765, 43.613458969203634]};EMBOUCHURE -  HAEDENS;BD DE L EMBOUCHURE;57
43.6099785963, 1.4196129267;{"type": "Point", "coordinates": [1.419612926698242, 43.60997859625793]};CHAPOU;ALL DE BRIENNE;129
43.6084261192, 1.42386267118;{"type": "Point", "coordinates": [1.423862671181388, 43.60842611920062]};BRIENNE  -  PASSERELLE;ALL DE BRIENNE;99
43.5926435707, 1.43391008374;{"type": "Point", "coordinates": [1.43391008374255, 43.59264357069798]};PLACE DU FER A CHEVAL;PL DU FER A CHEVAL;5
43.5854539103, 1.4283605566;{"type": "Point", "coordinates": [1.428360556600613, 43.58545391027452]};CROIX DE PIERRE - DEODAT DE SEVERAC;BD DEODAT DE SEVERAC;2
43.6190127432, 1.45680421485;{"type": "Point", "coordinates": [1.456804214846672, 43.6190127432319]};EGLISE BONNEFOY;ALL DE L EGLISE BONNEFOY;8
43.593531204, 1.4530424939;{"type": "Point", "coordinates": [1.453042493901773, 43.5935312039993]};MISTRAL -  FLEURANCE;ALL FREDERIC MISTRAL;18
43.6009101182, 1.45072441426;{"type": "Point", "coordinates": [1.450724414255123, 43.60091011822928]};METZ  - REMPART ST ETIENNE;RUE DU REMPART ST ETIENNE;5
43.5955021269, 1.41843992755;{"type": "Point", "coordinates": [1.418439927550584, 43.5955021268761]};BARRIERE DE LOMBEZ;AV DE LOMBEZ;39
43.5878725608, 1.42458263002;{"type": "Point", "coordinates": [1.424582630015671, 43.58787256081316]};DEODAT DE SEVERAC;BD DEODAT DE SEVERAC;52
43.592964434, 1.44530594719;{"type": "Point", "coordinates": [1.445305947191189, 43.59296443395939]};GUESDE TRENTE SIX  PONTS;ALL JULES GUESDE;3
43.6059615375, 1.48174849522;{"type": "Point", "coordinates": [1.481748495217635, 43.60596153750452]};CHAUBET;AV JEAN CHAUBET;158
43.584293243, 1.42755810866;{"type": "Point", "coordinates": [1.427558108655031, 43.58429324304835]};MURET LAFAGE;AV DE MURET;121
43.5816739013, 1.47585362475;{"type": "Point", "coordinates": [1.475853624745652, 43.5816739013387]};SAINT EXUPERIY ECOLE COURREGE;AV ANTOINE DE ST EXUPERY;165
